study_hours,attendance,previous_marks,assignment_score,sleep_hours,result
8.0,69.1,66.7,62.5,5.4,0
4.9,89.1,61.5,100.0,6.0,1
8.7,78.4,79.9,71.5,5.5,1
7.3,74.6,64.5,86.4,4.8,1
1.8,76.7,63.4,71.3,7.1,0
9.8,80.7,69.6,71.6,7.1,1
7.9,85.4,93.4,63.8,9.0,0
8.1,66.0,47.9,73.7,5.9,0
2.2,65.5,79.5,76.5,7.2,0
5.1,91.3,39.6,61.0,7.2,0
4.3,73.1,71.3,70.2,6.5,1
9.3,61.0,91.6,63.5,7.8,1
6.8,83.3,75.3,100.0,7.8,1
8.4,83.6,70.6,70.7,7.2,1
5.0,59.6,59.6,93.6,6.5,0
3.0,80.8,68.5,69.3,6.3,0
6.0,86.8,64.2,75.6,5.0,1
1.6,82.5,56.2,53.5,5.8,0
8.4,85.6,63.7,65.7,6.0,1
6.7,61.1,71.0,74.9,5.3,1
7.8,82.0,56.5,94.2,7.4,1
4.2,74.4,55.9,75.1,8.4,0
9.7,72.2,47.6,91.4,5.6,1
9.0,88.4,73.9,81.0,7.2,1
8.0,95.8,76.2,94.8,5.5,1
2.8,99.5,71.5,71.2,6.4,0
5.2,93.8,82.5,100.0,5.9,1
1.4,76.7,69.3,65.2,7.6,0
2.4,82.2,73.9,61.3,5.9,0
7.1,87.2,72.6,55.1,8.1,1
7.7,79.5,66.6,100.0,6.5,1
9.7,79.6,60.0,83.5,6.0,1
3.9,87.9,100.0,67.3,5.2,0
4.3,77.3,61.2,89.5,7.1,0
5.2,69.2,58.0,81.6,8.0,0
2.7,73.0,74.5,99.5,7.2,0
2.2,85.6,71.8,50.3,9.7,0
5.3,78.0,46.9,68.3,8.7,0
3.0,82.1,84.8,65.5,6.4,0
7.0,86.0,66.6,44.4,6.4,0
4.9,73.5,51.3,86.8,7.4,1
8.5,87.1,85.8,68.2,5.7,1
7.3,82.5,77.4,82.4,8.3,1
3.8,63.2,49.0,100.0,7.3,1
8.5,95.3,94.7,67.1,7.1,1
8.2,72.0,77.9,66.1,7.7,0
4.5,58.1,67.8,73.7,9.0,1
3.6,65.5,91.9,85.8,7.0,1
7.1,65.7,70.4,64.1,6.7,0
2.3,78.6,67.6,63.2,8.8,0
2.8,74.7,58.1,86.8,8.1,0
1.1,74.0,76.7,77.3,6.4,0
8.1,85.4,75.1,43.4,6.8,1
7.0,82.1,68.2,54.8,7.1,0
7.3,81.8,56.2,93.0,7.3,1
8.0,82.9,69.9,77.6,5.0,1
5.1,85.4,67.0,61.3,4.8,0
6.1,52.7,48.0,69.6,5.6,0
2.3,73.6,45.9,72.2,5.5,0
2.0,51.8,76.5,82.3,6.0,0
7.0,78.4,30.0,53.0,7.6,0
5.2,77.9,71.1,60.2,6.6,1
6.1,90.5,60.8,75.8,7.1,0
7.9,92.3,87.6,70.6,5.2,1
6.7,80.4,60.6,80.0,6.2,1
6.0,72.0,77.9,54.8,7.6,1
6.0,83.8,62.0,77.0,7.6,1
3.7,71.7,69.7,87.3,5.9,1
1.3,78.0,79.1,78.8,7.0,0
4.9,89.8,61.1,73.9,9.7,1
2.9,71.3,82.9,70.7,6.8,0
4.7,87.7,53.1,60.3,5.9,0
8.7,86.1,72.4,71.0,6.6,1
3.1,66.5,81.8,89.6,6.9,0
1.5,89.7,77.9,70.3,6.6,0
3.5,86.4,96.7,59.5,6.8,1
3.6,79.2,56.5,65.1,4.9,0
7.0,68.9,47.3,74.8,5.5,0
6.0,67.7,53.1,66.8,6.6,1
8.1,71.5,77.9,78.8,6.6,1
7.0,84.5,75.5,79.3,6.1,1
4.7,66.5,69.5,84.4,6.6,0
8.3,83.3,51.2,91.9,6.9,1
2.5,63.1,79.5,85.9,8.0,0
1.2,75.6,49.6,58.9,6.7,0
1.8,79.3,85.4,59.4,7.3,1
7.5,100.0,100.0,70.9,6.1,1
5.2,61.5,73.5,65.7,7.5,0
2.5,95.7,76.7,56.1,7.3,0
5.5,79.8,60.6,65.8,7.9,0
2.4,82.9,40.8,65.4,7.7,0
7.3,79.4,59.0,62.6,7.6,1
5.0,83.3,51.6,67.6,6.7,0
4.4,76.2,46.3,88.5,7.1,0
3.7,95.4,93.8,74.8,8.2,1
